,Mintimes,Mintypes,Errors,Units,Data_group,Ecorr,OC,Weights
72,2456052.75104,0.0,1e-05,,Literature,2725.0,4.650093615055084e-06,9999999999.999998
73,2456052.91282,0.0,1e-05,,Literature,2726.0,1.420406624674797e-05,9999999999.999998
74,2456053.88345,0.0,1e-05,,Literature,2732.0,2.1527986973524094e-05,9999999999.999998
75,2456055.339417,0.0,1e-05,,Literature,2741.0,5.451356992125511e-05,9999999999.999998
76,2456184.270457,0.0,1e-05,,Literature,3538.0,4.905182868242264e-05,9999999999.999998
77,2456352.99701,0.0,2e-05,,Literature,4581.0,2.687377855181694e-05,2499999999.9999995
78,2456366.424034,0.0,1e-05,,Literature,4664.0,0.00010385597124695778,9999999999.999998
79,2456394.410294,0.0,1e-05,,Literature,4837.0,7.669813930988312e-05,9999999999.999998
80,2456402.98408,0.0,1e-05,,Literature,4890.0,2.905959263443947e-05,9999999999.999998
81,2456408.80783,0.0,2e-05,,Literature,4926.0,4.300381988286972e-05,2499999999.9999995
82,2456408.96961,0.0,3e-05,,Literature,4927.0,5.255779251456261e-05,1111111111.1111112
84,2456459.92729,0.0,1e-05,,Literature,5242.0,4.2067840695381165e-05,9999999999.999998
85,2456460.89791,0.0,3e-05,,Literature,5248.0,3.939168527722359e-05,1111111111.1111112
86,2456461.383233,0.0,1e-05,,Literature,5251.0,5.105370655655861e-05,9999999999.999998
88,2456466.88343,0.0,2e-05,,Literature,5285.0,5.2889809012413025e-05,2499999999.9999995
89,2456482.413413,0.0,1e-05,,Literature,5381.0,7.307389751076698e-05,9999999999.999998
90,2456706.627268,0.0,1e-05,,Literature,6767.0,8.991779759526253e-05,9999999999.999998
91,2456714.554008,0.0,1e-05,,Literature,6816.0,7.806392386555672e-05,9999999999.999998
92,2456738.495997,0.0,1e-05,,Literature,6964.0,4.105595871806145e-05,9999999999.999998
93,2456747.393407,0.0,1e-05,,Literature,7019.0,7.652631029486656e-05,9999999999.999998
94,2456762.92331,0.0,2e-05,,Literature,7115.0,1.6709789633750916e-05,2499999999.9999995
95,2456763.89394,0.0,1e-05,,Literature,7121.0,2.403371036052704e-05,9999999999.999998
96,2456778.93859,0.0,1e-05,,Literature,7214.0,2.2555701434612274e-05,9999999999.999998
97,2456779.90924,0.0,1e-05,,Literature,7220.0,4.98797744512558e-05,9999999999.999998
98,2456780.87986,0.0,1e-05,,Literature,7226.0,4.720408469438553e-05,9999999999.999998
99,2456781.85042,0.0,1e-05,,Literature,7232.0,-1.5472061932086945e-05,9999999999.999998
100,2456809.351486,0.0,1e-05,,Literature,7402.0,7.470790296792984e-05,9999999999.999998
101,2456858.367895,0.0,1e-05,,Literature,7705.0,3.856979310512543e-05,9999999999.999998
102,2456945.238653,0.0,1e-05,,Literature,8242.0,6.706779822707176e-05,9999999999.999998
103,2457059.61036,0.0,1e-05,,Literature,8949.0,6.874557584524155e-05,9999999999.999998
104,2457185.467748,0.0,1e-05,,Literature,9727.0,4.975777119398117e-05,9999999999.999998
105,2457503.346624,0.0,1e-05,,Literature,11692.0,-6.319023668766022e-07,9999999999.999998
106,2457764.605901,0.0,1e-05,,Literature,13307.0,6.077811121940613e-06,9999999999.999998
107,2457853.417861,0.0,1e-05,,Literature,13856.0,-8.775852620601654e-06,9999999999.999998
108,2457892.404551,0.0,1e-05,,Literature,14097.0,3.737863153219223e-06,9999999999.999998
109,2457918.449511,0.0,1e-05,,Literature,14258.0,-7.806811481714249e-05,9999999999.999998
110,2457926.376312,0.0,1e-05,,Literature,14307.0,-2.8921756893396378e-05,9999999999.999998
111,2457957.436203,0.0,1e-05,,Literature,14499.0,-6.355391815304756e-05,9999999999.999998
112,2457966.333591,0.0,1e-05,,Literature,14554.0,-5.008373409509659e-05,9999999999.999998
113,2457988.334321,0.0,1e-05,,Literature,14690.0,-0.00010073976591229439,9999999999.999998
114,2457994.319881,0.0,1e-05,,Literature,14727.0,-4.724226891994476e-05,9999999999.999998
115,2458178.576424,0.0,1e-05,,Literature,15866.0,-4.2236410081386566e-05,9999999999.999998
116,2458258.491005,0.0,1e-05,,Literature,16360.0,-6.155995652079582e-05,9999999999.999998
117,2458330.478886,0.0,1e-05,,Literature,16805.0,-2.903025597333908e-05,9999999999.999998
118,2458604.356211,0.0,1e-05,,Literature,18498.0,-6.910786032676697e-05,9999999999.999998
119,2458727.301773,0.0,1e-05,,Literature,19258.0,-4.6067871153354645e-05,9999999999.999998
120,2458942.618229,0.0,1e-05,,Literature,20589.0,-5.369400605559349e-05,9999999999.999998
121,2458946.338959,0.0,1e-05,,Literature,20612.0,-4.395190626382828e-05,9999999999.999998
122,2458946.500699,0.0,1e-05,,Literature,20613.0,-7.43982382118702e-05,9999999999.999998
123,2458955.39808416,0.0,1.6013897305e-05,,AAVSO,20668.0,-6.376812234520912e-05,3899473037.3378334
124,2458955.8834,0.0,1e-05,,Literature,20671.0,-5.92661090195179e-05,9999999999.999998
125,2458956.04517,0.0,1e-05,,Literature,20672.0,-5.971221253275871e-05,9999999999.999998
216,2458959.9277204163,,1.4610473100979497e-05,,TESS Sector 24_binned,20696.0,-6.189263650301915e-05,4684588435.303237
217,2458961.060113538,,6.7432437123518865e-06,,TESS Sector 24_binned,20703.0,-8.625574993477981e-05,21991876490.85729
218,2458962.1925066602,,7.967473403035094e-06,,TESS Sector 24_binned,20710.0,-5.2188362880472296e-05,15752836128.926033
219,2458963.324899782,,1.2751415854699011e-05,,TESS Sector 24_binned,20717.0,-3.9016686162461824e-05,6150114215.359445
220,2458964.457292904,,6.916996415773855e-06,,TESS Sector 24_binned,20724.0,-7.049662131949081e-05,20900895733.159744
126,2458965.4278,0.0,1e-05,,Literature,20730.0,-0.00011557992547750473,9999999999.999998
127,2458965.4278,0.0,1e-05,,Literature,20730.0,-0.00011557992547750473,9999999999.999998
221,2458965.5896860263,,6.9446677426346655e-06,,TESS Sector 24_binned,20731.0,-6.646239742681226e-05,20734666534.67013
222,2458966.722079148,,1.4045457002427456e-05,,TESS Sector 24_binned,20738.0,-4.278766169676036e-05,5069069560.097797
223,2458967.773587047,,4.043436525972796e-06,,TESS Sector 24_binned,20744.5,-3.766658362398776e-05,61164402861.79106
128,2458968.33972,0.0,1e-05,,Literature,20748.0,-6.360793486237526e-05,9999999999.999998
129,2458969.31037,0.0,1e-05,,Literature,20754.0,-3.6283861845731735e-05,9999999999.999998
224,2458974.1172995367,,7.659086252281565e-06,,TESS Sector 24_binned,20783.714285714286,-5.689870194979068e-05,17046926134.945608
225,2458975.376798009,,1.0215681748357657e-05,,TESS Sector 24_binned,20791.5,-5.725356043952822e-05,9582201306.341541
226,2458976.6131864176,,1.5303022627693958e-05,,TESS Sector 24_binned,20799.14285714286,-5.167458579770172e-05,4270173874.6835303
227,2458977.8842399223,,5.829977323385749e-06,,TESS Sector 24_binned,20807.0,-5.703790563906669e-05,29421598796.367794
228,2458979.097518267,,7.280751004931761e-06,,TESS Sector 24_binned,20814.5,-3.8954100174927666e-05,18864601797.13688
229,2458980.391681835,,1.1171386456775825e-05,,TESS Sector 24_binned,20822.5,-4.317557109208936e-05,8012828514.950212
230,2458981.6049601804,,4.628720754873659e-06,,TESS Sector 24_binned,20830.0,-6.964333760962748e-05,46674324122.81269
130,2458981.92845,0.0,1e-05,,Literature,20832.0,-5.107233300805092e-05,9999999999.999998
131,2458982.25196,0.0,1e-05,,Literature,20834.0,-8.196430280804634e-05,9999999999.999998
132,2459002.473201,0.0,1e-05,,Literature,20959.0,-0.00014671403914690018,9999999999.999998
134,2459041.45996801,0.0,1.5904219735e-05,,AAVSO,21200.0,-5.71901910007e-05,3953441030.6059375
135,2459074.461113,0.0,1e-05,,Literature,21404.0,-8.318433538079262e-05,9999999999.999998
136,2459089.344004,0.0,1e-05,,Literature,21496.0,-7.321592420339584e-05,9999999999.999998
137,2459098.40315867,0.0,1.2293219165e-05,,AAVSO,21552.0,-6.352225318551064e-05,6617116050.107615
138,2459108.271134,0.0,1e-05,,Literature,21613.0,-8.539808914065361e-05,9999999999.999998
140,2459304.49869935,0.0,1.4914779906e-05,,AAVSO,22826.0,-7.104640826582909e-05,4495378892.552896
141,2459350.441506,0.0,1.3e-05,,MUO,23110.0,-7.106037810444832e-05,5917159763.31361
142,2459375.030613,0.0,1e-05,,Literature,23262.0,-7.185200229287148e-05,9999999999.999998
143,2459375.192413,0.0,1e-05,,Literature,23263.0,-4.2298343032598495e-05,9999999999.999998
144,2459623.510067,0.0,2.0653229215e-05,,MUO,24798.0,-2.2908207029104233e-05,2344358743.8435802
145,2459623.671837,0.0,2.065322918e-05,,MUO,24799.0,-2.335384488105774e-05,2344358751.789317
146,2459664.43797434,0.0,2.0037682624e-05,,AAVSO,25051.0,-3.840634599328041e-05,2490605901.8992896
147,2459670.099978356,,1.3644715021018781e-05,,TESS Sector 50_binned,25086.0,-4.0757831461958105e-05,5371196746.754942
148,2459671.2323714783,,9.439635548889147e-06,,TESS Sector 50_binned,25093.0,-4.399183034324969e-05,11222498234.726889
149,2459672.3647646,,7.564603289200543e-06,,TESS Sector 50_binned,25100.0,-4.285699112079867e-05,17475422545.596443
150,2459673.416272499,,1.7110411899634898e-05,,TESS Sector 50_binned,25106.5,-3.3062765094547073e-05,3415694898.5129323
151,2459674.467780398,,7.426222663369308e-06,,TESS Sector 50_binned,25113.0,-6.657924604558167e-05,18132766396.077713
152,2459675.60017352,,1.0384905940498855e-05,,TESS Sector 50_binned,25120.0,-7.889872751982931e-05,9272457796.485573
153,2459676.732566642,,9.047033403798988e-06,,TESS Sector 50_binned,25127.0,-4.581078137886099e-05,12217648104.407164
154,2459677.784074541,,7.157990928418303e-06,,TESS Sector 50_binned,25133.5,-5.6021816524235864e-05,19517208995.329906
155,2459684.012236712,,1.0933437666553762e-05,,TESS Sector 50_binned,25172.0,-5.6369180296689676e-05,8365396559.294928
156,2459685.144629834,,1.1607759740885545e-05,,TESS Sector 50_binned,25179.0,-4.7917674769525136e-05,7421696305.729703
157,2459686.330946438,,5.302422195911059e-06,,TESS Sector 50_binned,25186.333333333332,-7.867751788140624e-05,35567340335.42776
158,2459687.409416078,,8.449867234718125e-06,,TESS Sector 50_binned,25193.0,-6.174677150380283e-05,14005551969.132156
159,2459688.5418092003,,1.0288264578873242e-05,,TESS Sector 50_binned,25200.0,-6.822253650278703e-05,9447475001.469357
160,2459689.674202322,,7.1747352061254745e-06,,TESS Sector 50_binned,25207.0,-5.283639728128992e-05,19426217421.124825
161,2459690.725710221,,1.1423752005428879e-05,,TESS Sector 50_binned,25213.5,-4.742131879300135e-05,7662711360.818014
162,2459697.762724622,,1.2316804171831245e-05,,TESS Sector 51_binned,25257.0,-3.365183330798503e-05,6591798556.430909
163,2459698.7737899097,,8.899469122246108e-06,,TESS Sector 51_binned,25263.25,-8.229312459618968e-05,12626174839.623611
164,2459699.8657404203,,9.14342429378506e-06,,TESS Sector 51_binned,25270.0,-7.282216358093457e-05,11961406595.849236
165,2459700.917248319,,1.3181914122947508e-05,,TESS Sector 51_binned,25276.5,-3.060855988477343e-05,5754969734.717116
166,2459701.968756218,,1.0415282819097424e-05,,TESS Sector 51_binned,25283.0,-4.5751041321990395e-05,9218449167.570778
167,2459703.020264117,,1.1825616643814403e-05,,TESS Sector 51_binned,25289.5,-4.9065610492758416e-05,7150763384.062763
168,2459703.990886793,,1.1229863482511825e-05,,TESS Sector 51_binned,25295.5,-5.373175722218116e-05,7929595730.826372
169,2459710.8661307483,,1.0394088909934429e-05,,TESS Sector 51_binned,25338.0,-3.608700273633193e-05,9256080972.371212
170,2459711.8367534243,,9.419731606866629e-06,,TESS Sector 51_binned,25344.0,-7.705399479608959e-05,11269974735.458828
171,2459712.8882613233,,9.920010014199668e-06,,TESS Sector 51_binned,25350.5,-3.7673007391327184e-05,10161920169.940052
172,2459713.939769222,,1.2568823253643156e-05,,TESS Sector 51_binned,25357.0,-5.652923176808109e-05,6330102783.007156
173,2459714.991277121,,1.3087930874477717e-05,,TESS Sector 51_binned,25363.5,-5.5901154079218106e-05,5837918327.233771
174,2459715.961899797,,1.181384592194635e-05,,TESS Sector 51_binned,25369.5,-6.630702726690339e-05,7165019804.655309
